organization_city,report_issue_date,exam_num,diagnoise_num
台州市,2022-11-03,519,343
台州市,2022-11-04,940,766
台州市,2022-11-05,536,466
台州市,2022-11-06,142,134
台州市,2022-11-07,844,545
台州市,2022-11-08,500,403
台州市,2022-11-09,617,420
台州市,2022-11-10,1226,853
台州市,2022-11-11,320,206
台州市,2022-11-12,219,194
台州市,2022-11-13,273,267
台州市,2022-11-14,549,411
台州市,2022-11-15,790,685
嘉兴市,2021-11-16,1436,484
嘉兴市,2021-11-17,1890,735
嘉兴市,2021-11-18,868,326
嘉兴市,2021-11-19,1896,981
嘉兴市,2021-11-20,906,210
嘉兴市,2021-11-21,792,333
嘉兴市,2021-11-22,1194,511
嘉兴市,2021-11-23,1836,1061
嘉兴市,2021-11-24,845,358
嘉兴市,2021-11-25,2550,803
嘉兴市,2021-11-26,1008,470
嘉兴市,2021-11-27,488,163
嘉兴市,2021-11-28,2190,1545
嘉兴市,2021-11-29,865,267
嘉兴市,2021-11-30,979,370
嘉兴市,2021-12-01,1303,431
嘉兴市,2021-12-02,1308,438
嘉兴市,2021-12-03,780,219
嘉兴市,2021-12-04,1054,120
嘉兴市,2021-12-05,600,163
嘉兴市,2021-12-06,1213,608
嘉兴市,2021-12-07,1293,368
嘉兴市,2021-12-08,2115,835
嘉兴市,2021-12-09,1583,666
嘉兴市,2021-12-10,1497,556
嘉兴市,2021-12-11,699,204
嘉兴市,2021-12-12,574,151
嘉兴市,2021-12-13,1310,622
嘉兴市,2021-12-14,928,385
嘉兴市,2021-12-15,1911,831
嘉兴市,2021-12-16,1033,443
嘉兴市,2021-12-17,1196,451
嘉兴市,2021-12-18,819,329
嘉兴市,2021-12-19,762,138
嘉兴市,2021-12-20,1176,544
嘉兴市,2021-12-21,958,288
嘉兴市,2021-12-22,2350,1187
嘉兴市,2021-12-23,1860,595
嘉兴市,2021-12-24,1047,254
嘉兴市,2021-12-25,872,140
嘉兴市,2021-12-26,527,125
嘉兴市,2021-12-27,1100,571
嘉兴市,2021-12-28,1551,537
嘉兴市,2021-12-29,1326,513
嘉兴市,2021-12-30,1020,360
嘉兴市,2021-12-31,693,182
嘉兴市,2022-01-01,251,30
嘉兴市,2022-01-02,543,132
嘉兴市,2022-01-03,639,165
嘉兴市,2022-01-04,1009,369
嘉兴市,2022-01-05,847,282
嘉兴市,2022-01-06,456,282
嘉兴市,2022-01-07,479,144
嘉兴市,2022-01-08,352,132
嘉兴市,2022-01-09,161,30
嘉兴市,2022-01-10,665,308
嘉兴市,2022-01-11,374,104
嘉兴市,2022-01-12,728,199
嘉兴市,2022-01-13,358,108
嘉兴市,2022-01-14,601,143
嘉兴市,2022-01-15,366,87
嘉兴市,2022-01-16,243,22
嘉兴市,2022-01-17,688,256
嘉兴市,2022-01-18,477,219
嘉兴市,2022-01-19,367,69
嘉兴市,2022-01-20,351,69
嘉兴市,2022-01-21,200,15
嘉兴市,2022-01-22,264,26
嘉兴市,2022-01-23,100,36
嘉兴市,2022-01-24,218,173
嘉兴市,2022-01-25,154,39
嘉兴市,2022-01-26,73,9
嘉兴市,2022-01-27,83,26
嘉兴市,2022-01-28,41,15
嘉兴市,2022-01-29,11,8
嘉兴市,2022-01-30,54,8
嘉兴市,2022-02-03,10,0
嘉兴市,2022-02-04,4,1
嘉兴市,2022-02-06,4,2
嘉兴市,2022-02-07,77,27
嘉兴市,2022-02-08,160,27
嘉兴市,2022-02-09,382,44
嘉兴市,2022-02-10,447,85
嘉兴市,2022-02-11,664,141
嘉兴市,2022-02-12,597,106
嘉兴市,2022-02-13,592,141
嘉兴市,2022-02-14,1227,327
嘉兴市,2022-02-15,1201,275
嘉兴市,2022-02-16,1072,403
嘉兴市,2022-02-17,598,326
嘉兴市,2022-02-18,564,254
嘉兴市,2022-02-19,805,288
嘉兴市,2022-02-20,554,87
嘉兴市,2022-02-21,1080,357
嘉兴市,2022-02-22,996,354
嘉兴市,2022-02-23,988,276
嘉兴市,2022-02-24,1117,280
嘉兴市,2022-02-25,996,346
嘉兴市,2022-02-26,1175,337
嘉兴市,2022-02-27,914,250
嘉兴市,2022-02-28,860,311
嘉兴市,2022-03-01,942,329
嘉兴市,2022-03-02,1213,357
嘉兴市,2022-03-03,1246,369
嘉兴市,2022-03-04,908,207
嘉兴市,2022-03-05,673,250
嘉兴市,2022-03-06,590,89
嘉兴市,2022-03-07,854,290
嘉兴市,2022-03-08,678,198
嘉兴市,2022-03-09,742,298
嘉兴市,2022-03-10,871,319
嘉兴市,2022-03-11,688,157
嘉兴市,2022-03-12,459,115
嘉兴市,2022-03-13,665,151
嘉兴市,2022-03-14,553,223
嘉兴市,2022-03-15,585,141
嘉兴市,2022-03-16,921,267
嘉兴市,2022-03-17,677,183
嘉兴市,2022-03-18,833,404
嘉兴市,2022-03-19,586,294
嘉兴市,2022-03-20,399,96
嘉兴市,2022-03-21,434,197
嘉兴市,2022-03-22,769,395
嘉兴市,2022-03-23,368,84
嘉兴市,2022-03-24,835,356
嘉兴市,2022-03-25,426,102
嘉兴市,2022-03-26,299,141
嘉兴市,2022-03-27,167,83
嘉兴市,2022-03-28,408,75
嘉兴市,2022-03-29,481,238
嘉兴市,2022-03-30,545,269
嘉兴市,2022-03-31,443,109
嘉兴市,2022-04-01,750,258
嘉兴市,2022-04-02,578,136
嘉兴市,2022-04-03,230,46
嘉兴市,2022-04-04,369,105
嘉兴市,2022-04-05,417,70
嘉兴市,2022-04-06,405,140
嘉兴市,2022-04-07,487,248
嘉兴市,2022-04-08,373,144
嘉兴市,2022-04-09,253,93
嘉兴市,2022-04-10,174,0
嘉兴市,2022-04-11,368,183
嘉兴市,2022-04-12,587,302
嘉兴市,2022-04-13,288,124
嘉兴市,2022-04-14,232,85
嘉兴市,2022-04-15,286,104
嘉兴市,2022-04-16,350,88
嘉兴市,2022-04-17,137,6
嘉兴市,2022-04-18,683,314
嘉兴市,2022-04-19,643,147
嘉兴市,2022-04-20,743,124
嘉兴市,2022-04-21,381,74
嘉兴市,2022-04-22,414,181
嘉兴市,2022-04-23,628,134
嘉兴市,2022-04-24,432,18
嘉兴市,2022-04-25,820,184
嘉兴市,2022-04-26,1142,248
嘉兴市,2022-04-27,915,179
嘉兴市,2022-04-28,665,178
嘉兴市,2022-04-29,582,201
嘉兴市,2022-04-30,666,177
嘉兴市,2022-05-01,389,53
嘉兴市,2022-05-02,999,93
嘉兴市,2022-05-03,829,431
嘉兴市,2022-05-04,596,180
嘉兴市,2022-05-05,480,135
嘉兴市,2022-05-06,326,121
嘉兴市,2022-05-07,344,66
嘉兴市,2022-05-08,85,73
嘉兴市,2022-05-09,526,58
嘉兴市,2022-05-10,335,97
嘉兴市,2022-05-11,606,160
嘉兴市,2022-05-12,397,148
嘉兴市,2022-05-13,950,507
嘉兴市,2022-05-14,538,256
嘉兴市,2022-05-15,548,25
嘉兴市,2022-05-16,1474,748
嘉兴市,2022-05-17,663,208
嘉兴市,2022-05-18,1003,394
嘉兴市,2022-05-19,601,199
嘉兴市,2022-05-20,1008,378
嘉兴市,2022-05-21,781,277
嘉兴市,2022-05-22,440,147
嘉兴市,2022-05-23,901,412
嘉兴市,2022-05-24,955,304
嘉兴市,2022-05-25,1064,423
嘉兴市,2022-05-26,1078,408
嘉兴市,2022-05-27,1220,304
嘉兴市,2022-05-28,860,227
嘉兴市,2022-05-29,893,217
